step,cap_deg,ix_j0,ix_j1,ix_j2,ix_j3,th_j0,th_j1,th_j2,th_j3,mi_j0,mi_j1,mi_j2,mi_j3,ri_j0,ri_j1,ri_j2,ri_j3
91,123.71,-0.333706,1.61,-0.174,-0.227,1.396,0.689854,0.634838,-0.162,0.109578,1.410188,-0.100258,0.534239,0.260678,1.522304,-0.082541,0.006224
92,124.0,-0.316707,1.61,-0.174,-0.227,1.396,0.661621,0.655426,-0.162,0.129033,1.401158,-0.100704,0.518153,0.281356,1.511012,-0.067792,-0.015901
93,124.51,-0.320309,1.61,-0.174,-0.227,1.396,0.647278,0.664283,-0.162,0.12609,1.394168,-0.100201,0.515955,0.280097,1.504036,-0.062883,-0.024138
94,124.67,-0.304583,1.61,-0.174,-0.227,1.396,0.619045,0.653253,-0.162,0.124168,1.398967,-0.101221,0.499868,0.295209,1.503518,-0.045474,-0.046263
95,124.69,-0.301789,1.61,-0.174,-0.227,1.396,0.604702,0.635641,-0.162,0.108357,1.406843,-0.096137,0.497671,0.295339,1.507588,-0.035156,-0.054499
96,125.1,-0.285816,1.61,-0.174,-0.227,1.396,0.601579,0.616339,-0.162,0.106435,1.40744,-0.071524,0.502358,0.306627,1.5164,-0.012011,-0.048847
97,125.88,-0.286345,1.61,-0.161326,-0.227,1.396,0.612346,0.591627,-0.162,0.118402,1.416299,-0.070861,0.517296,0.303878,1.519455,-0.007543,-0.057083
98,126.64,-0.280926,1.61,-0.16254,-0.227,1.396,0.637002,0.597299,-0.162,0.143003,1.411588,-0.067619,0.518345,0.309065,1.521601,-0.006766,-0.052476
99,127.08,-0.283727,1.61,-0.174,-0.227,1.396,0.675546,0.600271,-0.162,0.160736,1.415608,-0.076365,0.505505,0.306928,1.518353,-0.004639,-0.033979
100,127.53,-0.291018,1.61,-0.174,-0.227,1.396,0.700202,0.600477,-0.162,0.153044,1.413373,-0.076582,0.506554,0.299559,1.524814,-0.022976,-0.022869
101,127.28,-0.307235,1.61,-0.174,-0.227,1.396,0.710969,0.606399,-0.162,0.135572,1.406725,-0.077158,0.521492,0.283737,1.531403,-0.057519,-0.025648
102,127.05,-0.324324,1.61,-0.174,-0.227,1.396,0.735624,0.614005,-0.162,0.11811,1.403823,-0.076414,0.52254,0.269304,1.532159,-0.086993,-0.042315
103,127.31,-0.324516,1.608395,-0.174,-0.227,1.396,0.746391,0.625067,-0.162,0.120472,1.395204,-0.084783,0.519533,0.272022,1.519188,-0.07021,-0.072872
104,127.94,-0.330629,1.603986,-0.174,-0.227,1.396,0.743269,0.628079,-0.162,0.114686,1.392312,-0.089087,0.51612,0.266631,1.510678,-0.060411,-0.096165
105,128.2,-0.316797,1.608157,-0.174,-0.227,1.396,0.726257,0.617184,-0.162,0.108258,1.395333,-0.085529,0.498817,0.281528,1.512028,-0.044553,-0.133347
106,128.14,-0.305985,1.61,-0.174,-0.227,1.396,0.695357,0.612418,-0.162,0.087941,1.40549,-0.095835,0.474654,0.292548,1.514823,-0.02397,-0.15664
107,128.25,-0.300314,1.61,-0.174,-0.227,1.390382,0.678346,0.604701,-0.162,0.068014,1.413245,-0.086316,0.464381,0.295351,1.513669,-0.001178,-0.166044
108,128.69,-0.288003,1.61,-0.174,-0.227,1.396,0.647446,0.581223,-0.162,0.061081,1.424413,-0.064461,0.467996,0.299957,1.513119,0.017101,-0.16156
109,129.76,-0.276964,1.61,-0.174,-0.227,1.396,0.630435,0.579161,-0.162,0.068037,1.421466,-0.061299,0.4855,0.309872,1.506768,0.049269,-0.143186
110,130.15,-0.275361,1.61,-0.174,-0.227,1.396,0.627313,0.574048,-0.162,0.088882,1.423389,-0.069263,0.489115,0.312578,1.508586,0.069153,-0.138701
111,130.28,-0.285978,1.61,-0.174,-0.227,1.396,0.638079,0.577959,-0.162,0.123615,1.423575,-0.072746,0.478841,0.302641,1.517265,0.044964,-0.148105
112,130.24,-0.294104,1.61,-0.174,-0.227,1.396,0.662735,0.582018,-0.162,0.149339,1.414848,-0.06413,0.482456,0.295867,1.523154,0.019327,-0.143621
113,130.27,-0.297821,1.61,-0.174,-0.227,1.396,0.673502,0.576906,-0.162,0.144703,1.413353,-0.054367,0.499961,0.291749,1.532338,0.008622,-0.125247
114,130.38,-0.303582,1.61,-0.174,-0.227,1.396,0.670379,0.580753,-0.162,0.138716,1.412657,-0.058565,0.531354,0.286165,1.536759,-0.008357,-0.120762
115,130.47,-0.299849,1.61,-0.174,-0.227,1.396,0.653368,0.584973,-0.162,0.137392,1.407033,-0.063793,0.548858,0.291771,1.533936,-0.012409,-0.130166
116,130.52,-0.297443,1.61,-0.174,-0.227,1.396,0.638765,0.576799,-0.162,0.142991,1.411035,-0.072082,0.552473,0.295239,1.531731,-0.001171,-0.141484
117,131.04,-0.285886,1.61,-0.174,-0.227,1.396,0.638051,0.575913,-0.162,0.134702,1.421176,-0.083303,0.542199,0.305466,1.525297,0.024349,-0.138913
118,131.99,-0.283019,1.61,-0.174,-0.227,1.396,0.623448,0.568579,-0.162,0.140302,1.431349,-0.098442,0.518036,0.308173,1.516245,0.046412,-0.129684
119,132.43,-0.267075,1.61,-0.174,-0.227,1.396,0.622734,0.556632,-0.162,0.152236,1.427809,-0.070154,0.479985,0.319601,1.51215,0.082365,-0.106565
120,132.77,-0.272686,1.61,-0.174,-0.227,1.396,0.635909,0.542439,-0.162,0.169058,1.433905,-0.067345,0.455822,0.311673,1.522564,0.072534,-0.097336
121,132.9,-0.27592,1.61,-0.174,-0.227,1.396,0.635195,0.536216,-0.162,0.164586,1.434942,-0.066835,0.445548,0.305963,1.542638,0.041849,-0.085252
122,132.35,-0.289925,1.61,-0.174,-0.227,1.396,0.648369,0.531585,-0.162,0.148214,1.434152,-0.080214,0.449163,0.287963,1.561401,0.00262,-0.064237
123,132.13,-0.308329,1.61,-0.174,-0.227,1.396,0.675433,0.541032,-0.162,0.128642,1.4368,-0.086614,0.43889,0.271731,1.566825,-0.050471,-0.057112
124,132.77,-0.31516,1.61,-0.174,-0.227,1.396,0.693155,0.559042,-0.162,0.119915,1.428374,-0.106902,0.414727,0.263704,1.558359,-0.066768,-0.063875
125,133.58,-0.325464,1.61,-0.174,-0.227,1.396,0.696988,0.579294,-0.162,0.112949,1.423791,-0.113301,0.404453,0.258467,1.563782,-0.083719,-0.084527
126,134.27,-0.329193,1.61,-0.174,-0.227,1.396,0.686932,0.587025,-0.162,0.109173,1.418018,-0.13359,0.408068,0.254239,1.574871,-0.08449,-0.119068
127,134.47,-0.319545,1.61,-0.174,-0.227,1.396,0.662987,0.587475,-0.162,0.119236,1.421656,-0.143474,0.425572,0.264545,1.575474,-0.076107,-0.148329
128,134.49,-0.315391,1.61,-0.174,-0.227,1.396,0.629295,0.588689,-0.162,0.11708,1.421817,-0.13947,0.456965,0.270374,1.569699,-0.064887,-0.163702
129,134.5,-0.301859,1.61,-0.174,-0.227,1.396,0.609492,0.597664,-0.162,0.102608,1.426335,-0.121577,0.474469,0.284785,1.564117,-0.040327,-0.165186
130,134.82,-0.301597,1.61,-0.174,-0.227,1.396,0.603578,0.578281,-0.162,0.090532,1.439687,-0.089794,0.478085,0.284277,1.563989,-0.028361,-0.152781
131,136.0,-0.286056,1.61,-0.174,-0.227,1.396,0.611553,0.560972,-0.162,0.092344,1.446664,-0.071901,0.467811,0.295033,1.567012,0.006249,-0.154265
132,137.31,-0.282234,1.61,-0.174,-0.227,1.396,0.633417,0.561915,-0.162,0.108046,1.439522,-0.066643,0.443648,0.30176,1.562473,0.001262,-0.14186
133,137.51,-0.286788,1.61,-0.174,-0.227,1.396,0.661755,0.56565,-0.162,0.13584,1.435814,-0.060533,0.433374,0.298432,1.566175,-0.008488,-0.115566
134,137.56,-0.290343,1.61,-0.174,-0.227,1.396,0.676205,0.563895,-0.162,0.149727,1.433275,-0.047394,0.436989,0.293087,1.571334,-0.018277,-0.10316
135,137.43,-0.300885,1.61,-0.174,-0.227,1.396,0.676766,0.572273,-0.162,0.138023,1.434852,-0.05177,0.454494,0.280882,1.579827,-0.044018,-0.104644
136,137.86,-0.310539,1.61,-0.174,-0.227,1.396,0.691216,0.585209,-0.162,0.128395,1.429866,-0.06427,0.458109,0.274886,1.577518,-0.071006,-0.111875
137,137.89,-0.303618,1.61,-0.174,-0.227,1.396,0.691777,0.584358,-0.162,0.119945,1.429322,-0.066778,0.447835,0.282506,1.575533,-0.061628,-0.132994
138,138.13,-0.307669,1.61,-0.174,-0.227,1.396,0.678449,0.579801,-0.162,0.110743,1.42462,-0.052964,0.45145,0.276835,1.570995,-0.053844,-0.140224
