step,level_index_c_dist,level_index_c_prox,level_index_ny_dist,level_index_ny_prox,level_index_py_dist,level_index_py_prox,level_thumb_c_dist,level_thumb_c_prox,level_thumb_ny_dist,level_thumb_ny_prox,level_thumb_py_dist,level_thumb_py_prox,level_middle_c_dist,level_middle_c_prox,level_middle_ny_dist,level_middle_ny_prox,level_middle_py_dist,level_middle_py_prox,level_ring_c_dist,level_ring_c_prox,level_ring_ny_dist,level_ring_ny_prox,level_ring_py_dist,level_ring_py_prox,filt_index_c_dist,filt_index_c_prox,filt_index_ny_dist,filt_index_ny_prox,filt_index_py_dist,filt_index_py_prox,filt_thumb_c_dist,filt_thumb_c_prox,filt_thumb_ny_dist,filt_thumb_ny_prox,filt_thumb_py_dist,filt_thumb_py_prox,filt_middle_c_dist,filt_middle_c_prox,filt_middle_ny_dist,filt_middle_ny_prox,filt_middle_py_dist,filt_middle_py_prox,filt_ring_c_dist,filt_ring_c_prox,filt_ring_ny_dist,filt_ring_ny_prox,filt_ring_py_dist,filt_ring_py_prox,tot_index,tot_thumb,tot_middle,tot_ring
49,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.76,0.09,0.0,0.0,4.6,2.07,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.9,0.0,0.96,0.0,0.0,0.11,0.0,0.31,0.39,1.0,0.19,7.5,0.3,0.9,1.6
50,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.75,0.08,0.0,0.0,4.77,2.01,0.0,0.0,0.0,0.12,0.0,0.0,0.0,1.51,0.0,0.83,0.0,0.0,0.14,0.0,0.4,0.27,1.26,0.25,7.8,0.2,1.1,3.1
51,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,0.08,0.0,0.0,5.33,1.96,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1.22,0.0,0.68,0.0,0.0,0.1,0.0,0.28,0.19,0.88,0.18,9.5,0.0,0.9,0.0
52,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.97,0.08,0.0,0.0,6.4,1.95,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.04,0.0,0.56,0.0,0.0,0.07,0.0,0.19,0.13,0.62,0.12,12.3,0.0,0.9,0.0
53,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0.08,0.0,0.0,6.93,1.84,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.93,0.0,0.46,0.0,0.0,0.05,0.0,0.14,0.09,0.43,0.09,11.1,0.0,0.9,0.0
54,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.09,0.0,0.0,7.15,1.79,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.88,0.0,0.38,0.0,0.0,0.03,0.0,0.1,0.07,0.3,0.06,10.7,0.0,0.9,0.0
55,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.11,0.0,0.0,6.91,1.8,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.85,0.0,0.3,0.0,0.0,0.02,0.0,0.07,0.05,0.21,0.04,9.5,0.0,0.9,0.0
56,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0.16,0.0,0.0,6.98,2.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.85,0.0,0.24,0.0,0.0,0.02,0.0,0.05,0.03,0.15,0.03,11.3,0.0,0.9,0.0
57,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0.25,0.0,0.0,6.47,2.23,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.85,0.0,0.19,0.0,0.0,0.01,0.0,0.03,0.02,0.1,0.02,10.2,0.0,0.9,0.0
58,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0.23,0.0,0.0,5.78,2.14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.88,0.0,0.16,0.0,0.0,0.01,0.0,0.02,0.02,0.07,0.01,7.2,0.0,1.0,0.0
