step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
32,64.64,0.163474,0.314703,1.35486,3.131066,-1.312693,-2.009918,-0.042683,0.86439,0.46184,0.351644,1.396,0.088311,0.577175,-0.162,0.417774,1.195896,-0.174,0.570267,0.47,1.243349,0.275047,-0.227,0.159867,0.307702,1.377739,3.139644,-1.320521,-2.070268,0.100733,0.795137,0.31184,0.350658,1.383505,0.024292,0.427175,-0.15973,0.293781,1.045896,-0.178658,0.527107,0.465228,1.18944,0.125047,-0.22696
33,65.87,0.161471,0.328844,1.344521,3.14659,-1.306413,-1.989931,-0.043283,0.897262,0.450628,0.359482,1.396,0.062175,0.577786,-0.162,0.404163,1.193305,-0.174,0.523452,0.47,1.275934,0.279051,-0.227,0.159885,0.310111,1.37159,3.137381,-1.318146,-2.050135,0.101373,0.800331,0.300628,0.350844,1.380578,0.036711,0.427786,-0.160492,0.29605,1.043305,-0.180448,0.537706,0.464836,1.185903,0.129051,-0.227045
34,66.83,0.149452,0.319255,1.335773,3.140267,-1.318298,-1.969948,-0.051951,0.921167,0.430175,0.394162,1.396,0.06412,0.58467,-0.162,0.407871,1.189609,-0.174,0.521081,0.47,1.275999,0.270491,-0.227,0.160099,0.316065,1.363901,3.140669,-1.314886,-2.030385,0.098049,0.805405,0.280175,0.352862,1.377567,0.040691,0.43467,-0.160702,0.296519,1.039609,-0.182009,0.534209,0.464662,1.186516,0.120491,-0.226976
35,67.98,0.158146,0.336029,1.33334,3.132776,-1.314308,-1.949954,-0.05245,0.947108,0.414127,0.406459,1.396,0.093582,0.585335,-0.162,0.400123,1.18948,-0.174,0.548869,0.47,1.287986,0.267555,-0.227,0.158123,0.321309,1.356665,3.140721,-1.316746,-2.010277,0.09755,0.812425,0.264127,0.362747,1.376399,0.043616,0.435335,-0.160674,0.298069,1.03948,-0.180991,0.53108,0.464638,1.187763,0.117555,-0.226998
36,68.97,0.154444,0.331844,1.319455,3.148758,-1.307589,-1.929966,-0.046752,0.944949,0.400809,0.365761,1.396,0.065301,0.585104,-0.162,0.383052,1.190316,-0.174,0.509679,0.47,1.304048,0.2638,-0.227,0.157049,0.326355,1.350119,3.139002,-1.316961,-1.990198,0.100067,0.819023,0.250809,0.373216,1.370735,0.052902,0.435104,-0.160326,0.300177,1.040316,-0.181652,0.535163,0.464426,1.191801,0.1138,-0.226952
37,69.69,0.14206,0.322001,1.336158,3.13084,-1.325576,-1.909982,-0.057603,0.943667,0.380818,0.386803,1.396,0.028832,0.591468,-0.162,0.402501,1.187328,-0.174,0.49998,0.47,1.264833,0.253189,-0.227,0.156546,0.331582,1.342218,3.142375,-1.31496,-1.970433,0.092397,0.82261,0.230818,0.37136,1.367673,0.053858,0.441468,-0.160049,0.297236,1.037328,-0.183833,0.528755,0.464698,1.193517,0.103189,-0.226856
38,70.6,0.153498,0.340355,1.32082,3.120719,-1.318799,-1.889992,-0.04622,0.952855,0.373668,0.396233,1.396,0.077611,0.596388,-0.162,0.376432,1.184783,-0.174,0.548349,0.47,1.230981,0.255823,-0.227,0.153898,0.332726,1.341169,3.137935,-1.31918,-1.950526,0.094155,0.824875,0.223668,0.37503,1.371972,0.045775,0.446388,-0.159728,0.293401,1.034783,-0.182499,0.521793,0.465073,1.18824,0.105823,-0.226881
39,71.58,0.164346,0.349634,1.30891,3.138423,-1.315702,-1.870007,-0.033719,0.97503,0.371696,0.349935,1.396,0.08128,0.598037,-0.162,0.360477,1.18172,-0.174,0.524726,0.47,1.259173,0.268587,-0.226086,0.152307,0.335529,1.336073,3.133253,-1.320206,-1.93048,0.09442,0.82503,0.221696,0.380092,1.369729,0.051022,0.448037,-0.159199,0.297764,1.03172,-0.177876,0.527855,0.464488,1.181733,0.118587,-0.226866
40,72.35,0.155538,0.347733,1.301621,3.145247,-1.308297,-1.85002,-0.023708,0.936629,0.363087,0.386387,1.396,0.068696,0.594672,-0.162,0.375422,1.183521,-0.174,0.514321,0.47,1.297739,0.277152,-0.227,0.154188,0.3406,1.328534,3.135475,-1.319161,-1.910425,0.097988,0.833451,0.213087,0.372783,1.365117,0.055381,0.444672,-0.159127,0.296305,1.033521,-0.177349,0.527073,0.464421,1.181317,0.127152,-0.226786
41,73.73,0.15808,0.362495,1.300197,3.129025,-1.320518,-1.830045,-0.056599,0.957731,0.347035,0.427518,1.396,0.067935,0.598245,-0.162,0.37146,1.180954,-0.174,0.551219,0.47,1.295548,0.271498,-0.227,0.155384,0.345538,1.321247,3.138583,-1.316201,-1.890659,0.093401,0.836892,0.197035,0.376001,1.366789,0.056338,0.448245,-0.159494,0.292199,1.030954,-0.178306,0.523951,0.464383,1.181341,0.121498,-0.226864
42,74.81,0.157991,0.353104,1.284364,3.144908,-1.3108,-1.810066,-0.022043,0.926863,0.342233,0.378957,1.396,0.071033,0.594794,-0.162,0.363649,1.183008,-0.174,0.517704,0.47,1.283927,0.274219,-0.227,0.155708,0.350901,1.315004,3.136221,-1.318269,-1.870335,0.097422,0.843359,0.192233,0.388357,1.366962,0.056346,0.444794,-0.159691,0.2978,1.033008,-0.176898,0.530589,0.464182,1.18421,0.124219,-0.226911
43,75.79,0.164387,0.370344,1.290639,3.135602,-1.320879,-1.790078,-0.023224,0.92155,0.337463,0.411427,1.396,0.067168,0.596105,-0.162,0.366152,1.182939,-0.174,0.547156,0.47,1.296554,0.277018,-0.227,0.156402,0.355852,1.307165,3.139062,-1.316329,-1.850439,0.09406,0.842595,0.187463,0.386049,1.362908,0.057382,0.446105,-0.159858,0.291598,1.032939,-0.177818,0.527479,0.46434,1.182134,0.127018,-0.226969
44,77.49,0.163712,0.358614,1.274901,3.137506,-1.306454,-1.7701,-0.055858,0.874792,0.333077,0.374883,1.396,0.058353,0.591692,-0.162,0.383649,1.185882,-0.174,0.513964,0.47,1.326364,0.283761,-0.227,0.157847,0.360205,1.302033,3.138105,-1.317798,-1.830263,0.093766,0.849645,0.183077,0.392113,1.364764,0.05666,0.441692,-0.160641,0.290913,1.035882,-0.176566,0.53259,0.464439,1.183755,0.133761,-0.226999
