step,raw_index,raw_thumb,raw_middle,raw_ring,filt_index,filt_thumb,filt_middle,filt_ring,level_index,level_thumb,level_middle,level_ring
226,6.386,2.798,2.821,5.496,5.387,3.148,3.355,6.718,1,0,0,1
227,2.96,2.589,0.844,2.162,4.659,2.98,2.602,5.351,1,0,0,1
228,2.267,3.893,0.801,0.0,3.941,3.254,2.062,3.746,0,0,0,0
229,2.788,4.932,2.69,0.0,3.595,3.757,2.25,2.622,0,0,0,0
230,3.994,5.546,6.405,6.737,3.715,4.294,3.497,3.856,0,1,0,0
231,6.925,7.159,3.24,7.226,4.678,5.153,3.42,4.867,1,1,0,1
232,7.778,1.549,0.632,2.64,5.608,4.072,2.583,4.199,1,1,0,1
233,5.322,1.721,1.943,2.398,5.522,3.367,2.391,3.659,1,0,0,0
234,3.599,3.098,2.681,4.767,4.945,3.286,2.478,3.991,1,0,0,0
235,4.768,5.001,1.706,8.666,4.892,3.801,2.247,5.394,1,0,0,1
236,5.731,4.666,1.568,8.581,5.144,4.06,2.043,6.35,1,1,0,1
237,5.493,2.935,2.931,7.356,5.248,3.723,2.309,6.652,1,0,0,1
238,5.701,3.219,3.184,5.842,5.384,3.572,2.572,6.409,1,0,0,1
239,4.671,2.993,2.748,3.375,5.17,3.398,2.625,5.499,1,0,0,1
240,2.898,3.106,0.771,1.129,4.489,3.31,2.069,4.188,1,0,0,1
241,3.477,2.85,2.509,0.004,4.185,3.172,2.201,2.932,1,0,0,0
242,3.84,5.302,4.164,0.0,4.082,3.811,2.79,2.053,1,0,0,0
243,7.373,7.454,0.934,1.465,5.069,4.904,2.233,1.876,1,1,0,0
244,1.775,5.054,2.652,0.094,4.081,4.949,2.359,1.342,1,1,0,0
245,1.282,4.092,2.857,0.512,3.241,4.692,2.508,1.093,0,1,0,0
246,0.913,3.605,2.755,0.06,2.543,4.366,2.582,0.783,0,1,0,0
247,1.169,5.796,3.276,2.964,2.131,4.795,2.79,1.437,0,1,0,0
248,6.398,4.986,3.641,13.219,3.411,4.852,3.046,4.972,0,1,0,1
249,8.379,1.08,4.931,8.755,4.901,3.72,3.611,6.107,1,0,0,1
250,10.091,0.986,4.425,14.012,6.458,2.9,3.855,8.478,1,0,0,2
251,9.762,2.104,4.962,10.207,7.449,2.661,4.187,8.997,1,0,1,2
252,6.681,1.822,3.658,11.362,7.219,2.409,4.028,9.706,1,0,1,2
253,5.018,2.994,2.511,7.007,6.559,2.585,3.573,8.897,1,0,0,2
254,4.08,3.186,2.952,10.21,5.815,2.765,3.387,9.291,1,0,0,2
255,3.133,2.849,5.149,12.288,5.01,2.79,3.915,10.19,1,0,0,2
256,4.233,2.29,3.557,7.293,4.777,2.64,3.808,9.321,1,0,0,2
257,2.913,1.574,3.715,0.532,4.218,2.32,3.78,6.684,1,0,0,1
258,3.513,1.388,1.333,2.887,4.006,2.041,3.046,5.545,1,0,0,1
259,4.064,3.063,0.193,5.384,4.024,2.348,2.19,5.497,1,0,0,1
260,6.7,2.126,1.319,10.332,4.827,2.281,1.929,6.947,1,0,0,1
261,7.124,1.44,4.417,17.754,5.516,2.029,2.675,10.189,1,0,0,2
262,5.855,3.398,2.041,5.329,5.618,2.44,2.485,8.731,1,0,0,2
263,4.481,3.83,1.631,4.287,5.276,2.857,2.228,7.398,1,0,0,1
264,3.8,4.976,1.431,5.957,4.834,3.492,1.989,6.966,1,0,0,1
265,3.944,4.849,0.806,8.578,4.567,3.899,1.634,7.449,1,0,0,1
266,5.342,3.314,2.467,11.824,4.799,3.724,1.884,8.762,1,0,0,2
267,4.59,3.043,4.388,8.512,4.736,3.52,2.635,8.687,1,0,0,2
268,5.457,2.153,4.357,7.952,4.953,3.11,3.152,8.466,1,0,0,2
269,3.442,1.834,3.065,3.206,4.499,2.727,3.126,6.888,1,0,0,1
270,2.857,3.253,4.547,1.73,4.007,2.885,3.552,5.341,1,0,0,1
271,3.197,2.834,2.925,4.392,3.764,2.869,3.364,5.056,0,0,0,1
272,5.678,1.633,3.57,8.062,4.338,2.499,3.426,5.958,1,0,0,1
273,6.551,3.011,4.462,9.173,5.002,2.652,3.737,6.923,1,0,0,1
274,7.859,1.853,3.771,12.133,5.859,2.413,3.747,8.486,1,0,0,2
275,8.335,3.086,3.316,8.304,6.602,2.615,3.618,8.431,1,0,0,2
276,6.744,2.893,3.606,9.09,6.644,2.698,3.614,8.629,1,0,0,2
277,4.59,0.944,4.587,5.928,6.028,2.172,3.906,7.819,1,0,0,1
278,4.172,2.867,2.685,3.96,5.471,2.38,3.54,6.661,1,0,0,1
279,2.375,4.039,2.928,4.852,4.543,2.878,3.356,6.118,1,0,0,1
280,2.768,2.127,2.686,3.029,4.01,2.653,3.155,5.192,1,0,0,1
281,3.19,3.204,2.549,2.337,3.764,2.818,2.973,4.335,0,0,0,1
282,4.592,2.621,3.456,7.819,4.012,2.759,3.118,5.38,1,0,0,1
283,6.0,2.725,4.027,8.295,4.609,2.749,3.391,6.255,1,0,0,1
284,7.267,2.168,3.981,7.276,5.406,2.575,3.568,6.561,1,0,0,1
285,6.822,3.819,3.552,9.977,5.831,2.948,3.563,7.586,1,0,0,1
286,6.037,2.988,4.579,10.915,5.893,2.96,3.868,8.585,1,0,0,2
287,4.055,3.098,2.647,6.332,5.341,3.001,3.502,7.909,1,0,0,1
288,3.024,2.641,2.286,2.766,4.646,2.893,3.137,6.366,1,0,0,1
289,1.56,5.346,1.165,3.073,3.72,3.629,2.545,5.378,0,0,0,1
290,3.863,3.74,3.513,7.257,3.763,3.662,2.835,5.942,0,0,0,1
291,5.386,3.086,3.78,11.23,4.25,3.489,3.119,7.528,1,0,0,1
292,5.731,4.354,3.015,5.867,4.694,3.749,3.088,7.03,1,0,0,1
293,5.939,5.206,3.346,4.445,5.068,4.186,3.165,6.254,1,1,0,1
294,3.851,3.985,4.362,4.503,4.703,4.126,3.524,5.729,1,1,0,1
295,2.434,2.448,6.451,4.394,4.022,3.622,4.402,5.328,1,0,1,1
296,2.612,4.778,4.086,5.126,3.599,3.969,4.307,5.268,0,0,1,1
297,5.917,2.682,2.799,7.303,4.294,3.583,3.855,5.878,1,0,0,1
298,6.398,5.694,1.75,7.24,4.925,4.216,3.224,6.287,1,1,0,1
299,8.017,3.061,2.042,6.541,5.853,3.87,2.869,6.363,1,0,0,1
300,9.524,4.865,1.115,9.703,6.954,4.168,2.343,7.365,1,1,0,1
301,7.858,2.32,3.11,8.208,7.226,3.614,2.573,7.618,1,0,0,1
302,7.968,2.911,3.499,8.713,7.448,3.403,2.851,7.947,1,0,0,1
303,6.933,2.721,3.677,9.141,7.294,3.198,3.099,8.305,1,0,0,2
304,7.508,1.182,4.532,7.51,7.358,2.593,3.529,8.067,1,0,0,2
305,5.351,1.002,4.253,4.995,6.756,2.116,3.746,7.145,1,0,0,1
306,4.008,1.383,2.951,3.295,5.932,1.896,3.507,5.99,1,0,0,1
307,3.506,4.102,2.787,6.021,5.204,2.558,3.291,6.0,1,0,0,1
308,3.585,4.126,2.869,5.744,4.718,3.028,3.165,5.923,1,0,0,1
309,3.252,3.472,2.831,3.718,4.278,3.162,3.065,5.262,1,0,0,1
310,4.097,1.452,4.402,4.42,4.224,2.649,3.466,5.009,1,0,0,1
311,4.297,2.544,3.662,6.531,4.246,2.617,3.525,5.465,1,0,0,1
312,6.008,4.174,2.537,9.225,4.774,3.084,3.229,6.593,1,0,0,1
313,7.328,3.407,2.942,10.862,5.541,3.181,3.143,7.874,1,0,0,1
314,7.409,2.882,2.993,10.688,6.101,3.091,3.098,8.718,1,0,0,2
315,5.417,2.39,3.097,7.95,5.896,2.881,3.097,8.488,1,0,0,2
316,2.902,3.205,3.045,4.382,4.998,2.978,3.082,7.256,1,0,0,1
317,1.853,3.838,3.559,4.872,4.054,3.236,3.225,6.541,1,0,0,1
318,3.538,3.828,3.924,5.222,3.9,3.414,3.435,6.145,0,0,0,1
319,3.883,3.696,3.964,5.582,3.895,3.498,3.594,5.976,0,0,0,1
320,6.967,1.581,3.717,8.691,4.816,2.923,3.63,6.79,1,0,0,1
321,7.184,2.833,4.063,11.752,5.527,2.896,3.76,8.279,1,0,0,2
322,6.984,2.441,5.296,14.258,5.964,2.759,4.221,10.073,1,0,1,2
323,7.666,2.083,4.511,14.453,6.474,2.557,4.308,11.387,1,0,1,2
324,8.158,2.485,3.591,13.583,6.979,2.535,4.093,12.046,1,0,1,3
325,7.046,2.763,3.34,10.561,6.999,2.603,3.867,11.6,1,0,0,2
